,ItemID,ItemDescription,DateObtained,Price,Weight,SouvenirName,CityName,RegionName,CountryName,CategoryName,PlaceName,Latitude,Longitude,OwnerName
77,98,I got this because it was so weird that they sell Disney shotglasses! Does Mickey Mouse do shots?,2021/04/02,25.99,2.5,Mickey Mouse Shotglass,New York City,New York,United States,Kitchenware,,,,Group 2
78,99,Does the Queen use this to stir her tea?,2020/01/05,50.0,4.0,Gold Spoon,London,London,England,Kitchenware,,,,Group 2
79,102,"Yeah, sure, maybe it's basic.",2005/12/17,14.99,2.0,Eiffel Tower Shotglass,Paris,Ile-de-France,France,Kitchenware,,,,Group 2
80,104,"It's heavy, but it's cool to drink out of!",2013/10/30,17.99,5.0,Stone Shotglass,Copenhagen,Capital,Denmark,Kitchenware,,,,Group 2
81,105,Why is it shaped like that? It looks so strange but so cool!,2012/05/24,12.99,6.0,Weird spoon,Helsinki,Uusimaa,Finland,Kitchenware,,,,Group 2
82,115,"My cousin bought this for me when I visited because she wouldn't stop roasting me for being a tourist.... it's ironic, I promise.",2019/01/18,12.99,3.0,Union Jack Shotglass,Liverpool,Lancashire,England,Kitchenware,,,,Group 2
83,118,They say they made this with the same methods that Ancient Romans used. It's that why it's so lopsided?,2001/06/06,22.99,3.0,Ancient Roman Spoon,Rome,Lazio,Italy,Kitchenware,,,,Group 2
84,121,Sometimes I fill this up with maple syrup to pour on my pancakes.... is that a disrespectful stereotype?,2004/10/27,9.5,4.0,Maple Leaf Shotglass,Toronto,Ontario,Canada,Kitchenware,,,,Group 2
85,128,Who knew they made special spoons for eating olives? Not me!,2006/07/08,22.25,6.0,Olive Spoon,Athens,Attica,Greece,Kitchenware,,,,Group 2
86,138,He would be so proud.,2021/09/21,12.29,2.0,Cristo Redentor Shotglass,Rio de Janeiro,Rio de Janeiro,Brazil,Kitchenware,,,,Group 2
87,142,For portioning spices like sambal,2005/10/17,6.0,3.0,Small Wooden Spoon,Surabaya,East Java,Indonesia,Kitchenware,,,,Group 2
88,146,Bought from an antique shop. Good for bashing rats,2005/11/15,17.99,12.0,Old Pewter Spoon,London,London,England,Kitchenware,,,,Group 2
89,101,"I found it on the beach, it's so nice and round!",2001/02/15,0.0,4.0,Smooth Rock,Barcelona,Catalonia,Spain,Geological,,,,Group 2
90,111,"It's so dark, and so smooth!",1995/11/04,0.0,5.0,Black Rock,Seoul,Gyeonggi,South Korea,Geological,,,,Group 2
91,134,"Wow, it's made from crystalized lava!",2014/08/13,18.99,12.0,Obsidian,Aberdeen,New South Wales,Australia,Geological,,,,Group 2
92,107,"It fits perfectly in the palm of my hand, and the stripes are so cute!",2021/01/08,0.0,1.5,Red scallop shell,Miami,Florida,United States,Miscellaneous,,,,Group 2
93,108,"I think the top of the drum is made from papayrus, it sounds really awesome!",2012/06/28,60.0,34.0,Egyptian Drum,Cairo,Greater Cairo Regional Unit,Egypt,Miscellaneous,,,,Group 2
94,116,"The inside of the shell is iridescent, like a pearl. I wonder what this shell comes from.",2018/03/25,0.0,2.0,Shiny Shell,Perth,Western Australia,Australia,Miscellaneous,,,,Group 2
95,119,It's a little flute made of wood! The sound is deeper than I was expecting.,2002/10/19,45.5,15.0,Zuffolo,Venice,Veneto,Italy,Miscellaneous,,,,Group 2
96,133,Very helpful for my algebra homework!,1998/08/19,99.99,8.0,TI-89,Dallas,Texas,United States,Miscellaneous,,,,Group 2
97,136,A classic clamshell.,2000/04/19,0.0,3.5,Clamshell,Madrid,Community of Madrid,Spain,Miscellaneous,,,,Group 2
98,141,"It was really expensive and I don't know how to play it, but it's super cool.",2001/01/25,1640.0,36.0,Shamisen,Kyoto,Kyoto,Japan,Miscellaneous,,,,Group 2
99,147,"I found one half of a large shell, walked a few meters, then found the other half and now keep them sitting next to each other",2001/03/30,0.0,16.0,Chiton Shell,Nice,Alpes-Maritimes,France,Miscellaneous,,,,Group 2
100,100,"The color is so intense, I love it!",1998/06/12,45.0,8.0,Fancy Scarf,Munich,Bavaria,Germany,Clothing,,,,Group 2
101,113,"It's so beautiful, and the patterns were sewn by hand!",2014/06/14,120.0,86.0,Sari,Mumbai,Maharashtra,India,Clothing,,,,Group 2
102,120,"I never wear it because I'm too afraid of damaging the beadwork, but it looks so elegant and expensive.",2003/09/12,60.0,5.0,Blouse,Naples,Campania,Italy,Clothing,,,,Group 2
103,124,These are honestly the best aviators I've ever worn. I'm gonna wear them until they break!,2021/01/18,14.99,6.0,Sunglasses,Edinburgh,Lothian,Scotland,Clothing,,,,Group 2
104,127,It's so soft and light. It really helped to keep me cool while I was visiting.,2011/06/16,35.99,7.0,Headscarf,Casablanca,Casablanca-Settat,Morocco,Clothing,,,,Group 2
105,132,"Has ""I <3 Chicago"" on the front.",2000/01/01,12.99,5.0,Tourist Shirt,Chicago,Illinois,United States,Clothing,,,,Group 2
106,135,Now I have something to wear when my German inlaws invite me to Oktoberfest.,1997/02/26,69.99,10.0,Dirndl,Frankfurt,Hesse,Germany,Clothing,,,,Group 2
107,139,"Authentic and cozy, just what I always wanted",2016/10/10,42.0,24.0,Poncho,Buenos Aires,Buenos Aires,Argentina,Clothing,,,,Group 2
108,106,It really is a nice skyline,2015/07/15,2.99,1.0,City postcard,Los Angeles,California,United States,Postcard,,,,Group 2
109,112,The view is so unbelievable... the sky really looked like that in person!,2007/08/01,1.0,0.75,Sunset Postcard,Bangkok,Central Thailand,Thailand,Postcard,,,,Group 2
110,114,They're so tall but so beautiful! I want to live in a city like this,2011/04/05,0.8,1.0,Petronas Towers Postcard,Kuala Lumpur,Selangor,Malaysia,Postcard,,,,Group 2
111,117,Who doesn't love a kangaroo? Aww....,2017/02/23,1.2,1.0,Kangaroo Postcard,Auckland,North Island,New Zealand,Postcard,,,,Group 2
112,125,"It was so beautiful to see the bridge all lit up for Christmas, I'll never forget it!",2013/12/25,1.25,1.0,Story Bridge,Brisbane,Queensland,Australia,Postcard,,,,Group 2
113,129,"Picture of the famous Patras Carnival, one of the biggest in all of Europe!",2016/04/15,0.99,1.0,Carnival Postcard,Patras,Peloponnese,Greece,Postcard,,,,Group 2
114,131,A picture of the beautiful beach at Cannes!,2014/11/11,1.99,1.0,Beach Postcard,Cannes,Alpes-Maritimes,France,Postcard,,,,Group 2
115,140,A picture of a neighborhood with shikumen architecture.,2020/09/10,2.5,1.0,Shikumen Postcard,Shanghai,East China,China,Postcard,,,,Group 2
116,144,I think the picture it too heavily photoshopped.,2018/07/02,2.99,1.0,Beach Postcard,Cancun,Quintana Roo,Mexico,Postcard,,,,Group 2
117,145,Some impressionist art on a postcard from an Minneapolis artist.,2003/09/06,5.99,1.0,Minneapolis Institute of Art Postcard,Minneapolis,Minnesota,United States,Postcard,,,,Group 2
118,103,Someone made this by hand! It's so nice and it smells like leather.,1999/11/23,35.0,20.0,Hand-bound sketchbook,Sydney,New South Wales,Australia,Book,,,,Group 2
119,109,These drawings were handmade! The ink strokes are so beautiful,2007/12/30,29.99,18.0,Ink Artbook,Beijing,Hebei,China,Book,,,,Group 2
