,ItemID,ItemDescription,DateObtained,Price,Weight,SouvenirName,CityName,RegionName,CountryName,CategoryName,PlaceName,Latitude,Longitude,OwnerName
127,21,"Very good dirt. Solid, reliable.",2007/03/21,0.0,4.0,Central Park-dirt,New York City,New York,United States,Geological,,,,Group 5
128,22,Dry and depressing,2009/08/01,0.0,4.0,Hollywood Bowl-dirt,Los Angeles,California,United States,Geological,,,,Group 5
129,23,Tastes rich in Oxygen,2010/03/11,0.0,4.0,Burham Park-dirt,Chicago,Illinois,United States,Geological,,,,Group 5
130,24,Unimagineable feeling between the toes,2015/12/25,0.0,4.0,Playa Tortugas-sand,Cancun,Quintana Roo,Mexico,Geological,,,,Group 5
131,25,High in phosphates,2018/04/22,0.0,4.0,Bukhansan National Park-dirt,Seoul,Gyeonggi,South Korea,Geological,,,,Group 5
132,26,"There's something fishy in here, got sick after tasting it…",2019/09/28,0.0,4.0,Wuhan Institute of Virology-dirt,Wuhan,Hubei,China,Geological,,,,Group 5
133,27,Very soft,2020/06/12,0.0,4.0,TEL AVIV BEACH-sand,Tel Aviv,Tel Aviv,Israel,Geological,,,,Group 5
134,28,Smallest dirt on earth. Pathetic,2020/08/20,0.0,4.0,Bourscheid Neige Luges-dirt,Luxembourg,Luxembourg,Luxembourg,Geological,,,,Group 5
135,29,It's coarse. Gets everywhere. I don't like it,2020/09/20,0.0,4.0,Lagoon Beach-sand,Cape Town,Western Cape,South Africa,Geological,,,,Group 5
136,30,Tastes like they have never won a war,2021/02/20,0.0,4.0,Champ de Mars-dirt,Paris,Ile-de-France,France,Geological,,,,Group 5
137,31,"Very soft, great color",2021/07/20,0.0,4.0,Playa del Carmen-sand,Playa del Carmen,Quintana Roo,Mexico,Geological,,,,Group 5
138,32,"Medium coarseness, tons of shells",2021/12/20,0.0,4.0,Playa Punta Esmeralda-sand,Playa del Carmen,Quintana Roo,Mexico,Geological,,,,Group 5
139,33,Looks very rich. I got a worm in here!,2021/02/20,0.0,4.0,Hyde Park-dirt,London,London,England,Geological,,,,Group 5
140,34,BASIC,2021/01/20,0.0,4.0,National Park-dirt,Nice,Alpes-Maritimes,France,Geological,,,,Group 5
141,35,Neat.,2021/03/20,0.0,4.0,Promenade des Anglais-sand,Ulaanbaatar,Ulaanbaatar,Mongolia,Geological,,,,Group 5
142,36,Lots of critters and life. Kinda stinky,2017/08/20,0.0,4.0,Hikkaduwa Beach-sand,Colombo,Western Province,Sri Lanka,Geological,,,,Group 5
143,37,Very Nice,2014/01/20,0.0,4.0,Al Bustan Beach-sand,Muscat,Muscat,Oman,Geological,,,,Group 5
144,38,Exotic,2000/06/20,0.0,4.0,Palm Beach-sand,Ambondrona,Diana,Madagascar,Geological,,,,Group 5
145,39,Better dirt than expected,2004/09/20,0.0,4.0,Parco delle fonti-dirt,Meldola,Forlì-Cesena,Italy,Geological,,,,Group 5
146,40,"Hints of nostalgia from the great days of the USSR; however, a bit stale",2018/07/20,0.0,4.0,Park Lenina-dirt,Makaryev,Kostroma Oblast,Russia,Geological,,,,Group 5
