,ItemID,ItemDescription,DateObtained,Price,Weight,SouvenirName,CityName,RegionName,CountryName,CategoryName,PlaceName,Latitude,Longitude,OwnerName
20,44,Cute shot glass from Key West Florida,2020/12/25,0.0,,I Got Tipsy In Key West shot glass,Key West,Florida,United States,Kitchenware,,,,Group 4
21,59,The Chef's favorite knife,1998/07/11,0.0,,Gordon Ramsey's Filet Knife,London,London,England,Kitchenware,,,,Group 4
22,41,Common white quartz found in Utah,2020/06/01,0.0,,Quartz rock,Beaver,Utah,United States,Geological,,,,Group 4
23,53,Loot gained from besting pirates. ,2008/08/07,0.0,,Diamonds,Babati,Manyara,Tanzania,Geological,,,,Group 4
24,56,Rare green crystal,2011/08/15,0.0,,Emerald,Babati,Manyara,Tanzania,Geological,,,,Group 4
25,57,Orange crystal found at Utah's Topaz Mountain,1982/03/11,0.0,,Topaz,Topaz Mountain,Utah,United States,Geological,,,,Group 4
26,58,Rare red crystal,1937/02/25,0.0,,Ruby,Babati,Manyara,Tanzania,Geological,,,,Group 4
27,62,Rarest and most expensive crystal,2011/07/11,0.0,,Red Beryl,Beaver,Utah,United States,Geological,,,,Group 4
28,66,The prized jewel of France worn by Beyonce,2009/03/30,0.0,,The Pink Panther,Paris,Ile-de-France,France,Geological,,,,Group 4
29,42,Bronze NYC ornament bought from visitors center,2019/12/30,0.0,,NYC bronze ornament,New York City,New York,United States,Miscellaneous,,,,Group 4
30,47,9/11 Memorial bronze ornament,2020/03/14,0.0,,9/11 bronze ornament,Washington DC,Washington DC,United States,Miscellaneous,,,,Group 4
31,55,Taxidermy tazmanian devil,2000/06/13,0.0,,Taxidermy Tazmanian Devil,Babati,Manyara,Tanzania,Miscellaneous,,,,Group 4
32,64,They said it didn't exist,2021/02/26,0.0,,LoL Player's Sanity,Milwaukee,Wisconsin,United States,Miscellaneous,,,,Group 4
33,43,Souvenir shop item commemorating the second ammendment.,2021/01/02,0.0,,Texas Pen,Dallas,Texas,United States,Tool,,,,Group 4
34,51,Pencil case with a panda hugging it. ,2014/07/01,0.0,,Panda Pencil Holder,Beijing,Hebei,China,Tool,,,,Group 4
35,70,Unbreakable lockpick,2012/10/30,0.0,,Skeleton Key,Thieves' Guild,Thieves' Guild,Skyrim,Tool,,,,Group 4
36,45,Sick T-Shirt from a wild PCB spring break back in '99,1999/04/27,0.0,,PCB T-Shirt,Panama City Beach,Florida,United States,Clothing,,,,Group 4
37,46,Raise hell and praise Dale,2008/02/05,0.0,,Daytona 500 Hat,Daytona Beach,Florida,United States,Clothing,,,,Group 4
38,54,Blue Swim Suit from Toronto water park,2019/01/01,0.0,,Swim Suit,Toronto,Ontario,Canada,Clothing,,,,Group 4
39,65,Helmet that provides elemental resistance,2010/06/23,0.0,,Ancient Helmet of the Unburned,Labyrinthian,Shalidor's Maze,Skyrim,Clothing,,,,Group 4
40,68,The hat of Rasputin (from the song),2011/11/11,0.0,,Rasputin's Hat,Moscow,Central Russia,Russia,Clothing,,,,Group 4
41,48,Started a squirt gun fight that ended the Cuban Missile Crisis,1962/08/20,0.0,,Super Soaker,Havana,La Habana,Cuba,Toy,,,,Group 4
42,49,Video game bought on Steam,2019/07/20,0.0,,Oxygen Not Included,,,,Toy,,,,Group 4
43,50,Video game bought on Steam,2019/05/01,0.0,,Stardew Valley,,,,Toy,,,,Group 4
44,52,Pokemon Card,2010/06/10,0.0,,Shiny Limited Edition Charzard,Minneapolis,Minnesota,United States,Toy,,,,Group 4
45,60,Rian Johnson's Creativity that he lost before he directed the Last Jedi,2016/05/20,0.0,,Rian Johnson's Creativity,Hollywood,California,United States,Artifact,,,,Group 4
46,61,Commemorative replica of the first President's fabled wooden teeth,2003/03/03,0.0,,Replica George Washington Wood Teeth,Washington DC,Washington DC,United States,Artifact,,,,Group 4
47,63,Powerful shield belonging to the guard order of the town of Solitude,2014/05/19,0.0,,Shield of Solitude,Solitude,Haafingar Hold,Skyrim,Artifact,,,,Group 4
48,67,Item invented by the Dwemer to store culture's knowledge,2011/07/12,0.0,,Dwemer Lexicon,Riften Docks,Riften,Skyrim,Artifact,,,,Group 4
49,69,Attack damage and critical strike,2021/05/18,0.0,,Infinity Edge ,The Fountain,Summoners Rift,Freljord,Artifact,,,,Group 4
50,71,Hitler's iconic mustache,1940/04/30,0.0,,Hitler's Mustache,Hamburg,Hamburg,Germany,Artifact,,,,Group 4
51,72,I stole this from Tom Hanks,2000/06/14,0.0,,Da Vinci's Code,Vatican City,Vatican City,Vatican City,Artifact,,,,Group 4
52,73,A lot of attack damage. ,2021/05/18,0.0,,BF Sword,The Fountain,Summoners Rift,Freljord,Artifact,,,,Group 4
53,74,Mural painting by Italian artist Leonardo da Vinci,1490/04/17,0.0,,The Last Supper,Milan,Lombardy,Italy,Art,,,,Group 4
54,75,Portrait painting by Italian artist Leonardo da Vinci,1507/05/20,0.0,,Mona Lisa,Florence,Tuscany,Italy,Art,,,,Group 4
55,76,Limestone sculpure,2020/09/12,0.0,,Sphinx,Cairo,Greater Cairo Regional Unit,Egypt,Art,,,,Group 4
56,77,Wrought-iron lattice tower,1887/01/28,0.0,,Eiffle Tower Postcard,Paris,Ile-de-France,France,Postcard,,,,Group 4
57,78,Tallest mountain in the world,2003/02/14,0.0,,Mount Everest Postcard,Qing Zang Gaoyuan,Himalayas,Nepal,Postcard,,,,Group 4
